Years_of_Experience,Education_Level,Number_of_Skills,Certifications,Projects,Resume_Score
8.2,Bachelor's,20,3,10,100.0
6.0,Bachelor's,5,1,4,23.92
12.8,High School,18,4,2,71.87
10.9,Bachelor's,10,2,5,65.89
6.1,Diploma,7,1,4,25.91
4.5,PhD,6,2,3,54.84
4.1,Master's,5,5,8,61.9
0.4,Bachelor's,12,0,3,18.16
3.8,Master's,14,3,5,74.45
2.5,Bachelor's,6,1,4,22.32
1.8,Master's,11,2,5,45.75
5.4,Bachelor's,12,3,2,47.16
3.4,Diploma,7,2,1,10.91
4.3,Bachelor's,17,1,1,42.1
1.6,Diploma,12,1,3,23.77
7.2,Bachelor's,15,1,8,62.67
2.8,Bachelor's,11,2,2,44.95
5.2,Master's,10,2,3,53.36
3.0,Master's,12,3,1,35.26
0.3,Diploma,4,0,2,0.0
5.6,Bachelor's,9,2,4,36.33
3.6,Master's,11,1,4,47.39
0.9,Diploma,7,0,1,0.0
1.4,Bachelor's,8,2,4,33.44
7.4,Master's,7,7,2,76.63
0.9,Bachelor's,5,0,0,0.36
2.7,Master's,8,0,5,50.16
13.6,Bachelor's,6,3,5,61.98
5.7,Bachelor's,11,2,5,61.17
6.7,Diploma,7,1,2,31.06
3.2,High School,8,0,2,0.33
0.8,Diploma,5,1,3,5.05
4.6,Master's,12,0,7,64.01
1.5,Master's,12,2,3,43.21
1.4,Master's,16,4,4,63.29
4.2,Diploma,5,1,8,23.06
1.6,Bachelor's,10,1,5,34.14
3.9,Master's,13,3,5,62.09
2.2,Master's,14,2,2,44.04
3.8,Diploma,7,1,6,16.42
2.6,Master's,15,1,6,52.71
3.8,Diploma,11,1,4,22.87
10.3,Diploma,8,2,12,63.36
6.8,Master's,15,3,6,82.52
3.5,Bachelor's,8,0,1,10.68
9.2,Bachelor's,11,3,13,93.3
5.2,Bachelor's,8,1,4,49.41
8.8,PhD,4,3,5,78.27
1.0,Diploma,4,0,3,0.0
1.6,Master's,6,2,2,26.55
4.6,Bachelor's,8,4,8,49.72
3.4,Diploma,3,0,6,10.17
3.8,Bachelor's,11,1,4,39.74
5.9,Bachelor's,13,1,5,52.99
4.6,Bachelor's,6,2,4,25.44
7.2,Bachelor's,8,4,6,56.06
7.1,Bachelor's,9,4,6,69.93
1.7,Bachelor's,9,0,3,22.25
0.3,Master's,7,1,2,16.18
1.6,Master's,12,2,3,36.38
1.5,Bachelor's,11,0,7,34.69
4.1,Bachelor's,9,1,4,33.15
4.0,Bachelor's,13,1,3,30.77
3.3,Bachelor's,9,1,2,23.54
5.4,Diploma,6,2,7,30.48
17.6,Bachelor's,16,7,6,100.0
3.2,Diploma,6,0,1,0.0
4.7,Bachelor's,8,1,8,47.25
3.8,PhD,6,1,1,38.54
2.4,Bachelor's,3,0,5,22.39
5.9,Bachelor's,12,0,9,57.88
3.1,Bachelor's,3,1,6,28.79
2.0,Master's,10,3,4,40.21
2.1,Bachelor's,6,0,5,20.45
7.4,Bachelor's,12,2,7,61.63
5.8,Master's,14,2,2,65.28
2.6,Diploma,10,1,3,20.61
5.3,Bachelor's,12,1,6,62.12
3.9,Bachelor's,4,2,5,22.48
4.8,Master's,10,0,3,35.88
2.3,PhD,11,0,2,45.98
1.5,Master's,10,2,7,51.64
3.1,Bachelor's,13,1,2,27.69
1.8,Diploma,7,3,3,21.49
1.7,Bachelor's,6,2,2,15.1
1.1,Master's,7,1,1,25.3
0.4,PhD,17,2,0,43.03
2.6,Master's,13,1,9,61.91
8.4,Diploma,8,2,4,39.91
7.0,Master's,18,4,1,80.63
11.3,Master's,10,0,9,83.05
1.6,Master's,9,2,4,39.9
6.2,Master's,12,3,4,70.31
3.5,Bachelor's,7,2,6,37.66
2.1,Bachelor's,10,1,5,38.86
7.7,Bachelor's,7,0,4,23.91
3.5,Diploma,11,4,5,24.6
0.7,Master's,9,2,3,45.34
7.0,PhD,12,2,4,70.78
5.1,Master's,13,7,4,72.44
4.2,Bachelor's,16,3,6,64.95
1.3,Diploma,7,0,4,2.27
4.6,Bachelor's,7,2,7,47.07
10.3,Master's,17,6,7,100.0
5.0,Master's,13,0,4,48.64
0.9,PhD,9,1,3,49.13
5.2,Bachelor's,7,2,4,28.38
5.0,Bachelor's,8,2,8,33.53
6.5,Master's,7,2,1,43.67
4.9,Bachelor's,7,1,3,26.85
1.7,PhD,7,1,5,31.88
4.1,Bachelor's,12,0,4,40.89
3.1,High School,2,1,4,0.0
4.4,High School,6,2,3,8.2
7.9,Master's,10,2,5,71.19
2.2,Bachelor's,9,1,4,30.35
12.4,Master's,17,5,11,100.0
5.2,Master's,7,3,8,60.58
7.0,Bachelor's,14,2,6,66.2
6.3,Master's,9,2,8,71.05
5.1,PhD,2,1,3,33.43
5.8,Diploma,10,1,9,37.5
0.0,Master's,14,1,4,49.86
6.3,Bachelor's,12,3,3,67.69
1.8,Bachelor's,6,1,9,45.93
3.7,Bachelor's,10,1,2,10.01
5.0,Master's,10,1,5,61.51
8.2,High School,8,2,6,29.09
1.8,Bachelor's,13,1,1,41.12
2.7,Master's,13,1,4,42.01
3.0,Diploma,3,1,5,1.02
4.5,Master's,10,3,3,53.99
3.2,PhD,8,2,4,51.4
5.8,Diploma,10,2,4,33.23
0.7,Diploma,9,2,2,19.5
3.5,PhD,8,0,10,72.59
11.0,Diploma,8,1,8,46.53
3.2,Diploma,12,0,5,38.47
5.2,PhD,13,2,7,71.8
7.3,Master's,12,2,7,69.93
5.1,Master's,16,3,7,100.0
13.2,Bachelor's,14,1,4,75.33
4.1,Master's,9,0,9,49.52
6.0,Master's,18,0,8,80.15
4.6,Master's,13,3,3,66.91
9.5,Master's,12,6,5,96.29
2.8,Master's,12,1,4,57.01
13.9,Bachelor's,14,2,11,93.62
2.3,Bachelor's,5,2,2,13.34
11.7,Bachelor's,9,3,7,68.12
1.6,Bachelor's,7,1,4,15.87
6.1,Bachelor's,8,1,4,37.89
3.9,Bachelor's,5,1,7,25.04
7.2,Master's,15,3,4,79.16
5.3,Bachelor's,6,1,4,35.17
7.0,High School,10,3,4,24.76
1.6,Bachelor's,5,2,2,11.46
0.8,Bachelor's,2,1,1,0.0
1.3,Master's,8,3,2,35.67
1.3,Bachelor's,1,0,2,0.0
1.6,Bachelor's,10,0,2,25.11
2.4,Master's,10,3,5,61.28
2.4,High School,10,1,4,4.85
3.9,Diploma,5,1,7,27.66
1.9,Master's,6,1,3,37.99
2.1,Bachelor's,8,0,1,21.17
3.3,Master's,13,4,1,58.22
7.9,Master's,8,4,10,84.57
2.8,PhD,13,1,2,44.03
3.7,Diploma,4,1,10,25.42
4.2,Master's,11,0,1,24.82
1.7,Master's,8,0,5,41.56
3.0,Bachelor's,5,1,3,16.51
2.2,PhD,8,2,3,47.84
7.4,Bachelor's,8,1,10,54.53
7.0,Master's,15,0,4,51.93
2.0,Bachelor's,11,1,2,31.93
3.7,Bachelor's,9,1,2,30.68
6.0,Diploma,14,2,3,49.75
4.9,Master's,13,1,2,37.34
5.3,Bachelor's,4,1,3,32.57
1.7,High School,3,1,3,0.0
11.4,High School,10,1,9,57.73
2.4,Master's,10,1,2,16.42
2.3,Diploma,10,1,5,26.77
1.2,Bachelor's,6,1,0,6.13
3.4,Master's,12,0,6,48.91
8.5,Bachelor's,14,1,6,63.94
4.9,Bachelor's,10,2,5,42.03
3.6,Bachelor's,10,1,0,12.77
6.7,PhD,11,2,5,65.37
8.4,Master's,9,4,5,74.28
7.0,Bachelor's,12,1,5,62.24
0.6,Bachelor's,5,1,3,19.53
6.7,Bachelor's,10,0,5,43.99
5.5,PhD,15,4,3,80.49
2.0,Bachelor's,11,0,2,37.16
5.5,Bachelor's,6,3,3,42.59
8.5,Master's,7,5,4,75.81
2.5,Diploma,8,2,1,2.76
7.3,Bachelor's,7,0,4,35.93
5.0,Diploma,8,4,4,29.06
0.1,Bachelor's,10,1,3,37.01
3.8,Bachelor's,8,0,4,19.91
4.8,PhD,14,0,7,68.14
3.1,Bachelor's,10,4,4,42.81
5.1,Diploma,13,2,0,26.32
3.5,Master's,13,2,5,64.59
15.7,Master's,9,5,10,100.0
2.9,Master's,13,2,4,55.26
2.0,Master's,12,2,2,49.35
7.1,Bachelor's,8,1,9,44.08
3.2,Bachelor's,16,3,5,65.75
3.7,High School,5,0,5,2.07
3.4,Diploma,6,1,2,3.56
6.8,PhD,11,4,5,85.35
1.5,Master's,11,3,7,60.49
7.3,Bachelor's,11,1,6,34.76
5.8,Diploma,8,2,4,41.22
12.5,PhD,17,5,6,100.0
4.5,Diploma,9,1,3,12.37
1.7,Bachelor's,9,0,1,7.88
4.6,Diploma,9,3,6,50.49
5.0,High School,3,1,2,0.97
9.0,Bachelor's,12,4,9,87.25
1.7,PhD,6,2,3,45.5
0.9,Bachelor's,10,0,5,27.97
4.7,Bachelor's,10,0,4,25.62
12.8,Master's,15,3,5,92.3
6.4,Bachelor's,12,0,4,50.51
6.6,Master's,8,3,4,63.6
1.2,Master's,16,2,1,50.27
4.1,Bachelor's,6,0,2,11.62
9.1,Bachelor's,10,5,8,89.01
5.1,Master's,6,2,6,43.71
0.9,Master's,14,1,5,60.55
4.0,Master's,7,2,8,50.49
6.1,Diploma,3,2,9,28.52
3.7,Master's,11,3,5,60.47
1.8,Master's,7,0,6,35.61
7.2,Bachelor's,8,3,5,53.9
2.8,Master's,17,1,4,49.63
5.4,Bachelor's,11,1,6,51.58
4.0,Bachelor's,7,1,6,42.14
2.7,Master's,9,3,4,49.05
13.8,Bachelor's,10,0,7,57.7
2.5,Bachelor's,8,1,2,19.54
4.2,Bachelor's,8,1,6,29.54
3.9,Master's,8,0,10,40.14
4.6,Bachelor's,10,0,4,29.13
13.1,Master's,14,3,4,100.0
6.1,Master's,9,3,7,67.88
2.7,Bachelor's,10,1,1,21.44
10.5,PhD,11,1,9,98.15
6.8,Master's,9,3,8,77.99
2.8,Bachelor's,9,1,6,25.32
9.4,PhD,12,2,13,100.0
1.2,Bachelor's,10,1,4,29.32
1.5,High School,2,3,0,0.0
0.8,Bachelor's,6,0,1,0.0
0.4,Bachelor's,7,2,5,11.71
9.0,Diploma,17,6,5,82.64
4.6,Bachelor's,9,0,5,25.64
0.9,Bachelor's,13,1,2,36.78
3.9,Bachelor's,11,1,6,33.63
7.5,High School,9,2,11,48.96
2.1,Master's,7,4,5,55.24
3.1,Bachelor's,13,0,7,47.78
14.2,Diploma,9,4,8,75.69
3.3,Bachelor's,7,1,7,22.72
1.0,Bachelor's,8,1,3,8.54
2.6,Bachelor's,14,0,9,45.84
0.8,Bachelor's,5,2,2,3.36
6.4,High School,6,3,6,27.9
1.9,Master's,8,1,2,24.02
1.8,Bachelor's,4,2,3,7.76
15.1,Diploma,13,2,8,71.56
1.3,Master's,4,0,3,4.97
1.1,Master's,9,1,7,43.94
1.6,Bachelor's,14,1,4,33.06
7.7,Bachelor's,10,0,8,54.26
5.8,Bachelor's,9,1,5,41.43
2.5,Bachelor's,10,1,3,27.26
2.4,Diploma,6,2,2,15.26
5.5,Bachelor's,6,1,10,37.93
4.7,PhD,11,3,3,72.41
3.5,Master's,10,1,4,47.83
6.0,Bachelor's,26,2,4,82.93
1.5,Bachelor's,10,2,0,15.74
1.9,Master's,12,0,0,28.75
6.2,Bachelor's,7,2,5,46.48
5.0,Diploma,11,0,0,4.32
4.1,Diploma,6,1,0,9.4
14.7,Master's,13,3,8,100.0
7.0,Bachelor's,13,1,1,42.7
2.6,Diploma,4,0,0,0.66
2.0,Diploma,12,1,4,28.13
5.2,Bachelor's,7,0,7,38.64
9.0,Bachelor's,13,3,10,79.82
0.7,Master's,13,3,3,47.73
4.9,Diploma,10,1,3,18.3
3.0,Master's,8,2,4,50.41
4.6,PhD,14,4,4,76.55
1.0,Bachelor's,6,1,4,30.83
9.0,Diploma,14,0,7,57.29
10.7,Master's,11,2,10,93.76
6.5,Bachelor's,11,1,7,44.91
12.1,High School,6,4,6,54.84
2.9,Bachelor's,9,1,4,28.9
4.8,Master's,11,3,5,59.33
6.6,Bachelor's,15,3,4,60.13
5.3,Master's,8,1,6,42.28
3.2,Bachelor's,7,1,8,38.54
3.5,Bachelor's,12,4,1,43.42
10.0,High School,13,2,4,35.27
3.9,Bachelor's,11,2,4,46.67
8.6,Diploma,12,1,3,56.78
3.8,Bachelor's,10,0,3,17.39
8.6,Bachelor's,8,2,5,51.76
4.3,Bachelor's,13,1,6,62.15
6.2,Bachelor's,12,0,3,33.92
2.3,High School,7,1,3,3.73
4.8,Bachelor's,9,2,2,37.82
2.3,PhD,20,2,2,78.93
2.9,Diploma,12,1,0,28.99
3.1,Bachelor's,9,1,1,9.1
3.5,Bachelor's,11,2,1,34.28
7.9,Bachelor's,12,1,4,48.61
2.8,Master's,11,3,2,48.47
4.5,Bachelor's,9,2,2,34.38
8.6,Bachelor's,6,3,3,44.54
6.1,Bachelor's,7,0,9,37.23
0.7,Bachelor's,8,0,2,3.59
1.0,PhD,16,1,6,83.54
5.3,PhD,10,2,13,81.58
2.7,Diploma,6,1,5,24.53
0.9,Bachelor's,4,0,5,3.47
2.5,Bachelor's,10,4,4,46.53
5.5,Diploma,5,2,3,34.7
3.0,Bachelor's,9,0,3,29.01
4.2,Bachelor's,8,2,6,32.0
3.3,Bachelor's,10,0,4,26.86
2.2,Bachelor's,13,1,6,43.57
4.8,Bachelor's,5,1,2,28.39
0.8,PhD,15,0,5,57.65
2.0,Master's,10,0,5,37.59
6.9,Diploma,6,3,4,47.0
1.0,Master's,13,0,2,45.68
4.0,Bachelor's,8,0,1,23.0
2.8,Master's,10,2,5,45.93
2.6,Bachelor's,9,1,4,10.12
7.4,Master's,8,2,6,52.9
8.4,Diploma,10,0,9,37.41
1.6,Bachelor's,13,0,5,33.89
3.5,PhD,11,1,9,79.22
0.5,Diploma,9,1,4,27.69
7.1,Diploma,8,4,2,47.84
3.8,Master's,9,3,7,56.5
1.0,Master's,12,0,2,33.56
2.1,Master's,8,1,2,33.18
1.4,Master's,21,2,3,54.95
2.0,Master's,14,1,5,46.46
0.6,Diploma,5,0,5,0.0
9.9,Bachelor's,13,1,6,82.1
1.6,Master's,16,1,7,65.15
4.0,Master's,9,0,4,29.67
5.4,Bachelor's,6,0,5,25.92
8.4,Diploma,12,1,8,58.55
4.1,Master's,8,3,3,46.62
3.2,Bachelor's,13,0,4,33.49
4.2,High School,9,6,5,45.62
1.6,Master's,8,5,5,66.73
1.7,Bachelor's,13,1,8,57.13
3.2,Bachelor's,8,0,5,25.07
0.4,High School,3,0,2,0.0
2.2,High School,7,3,3,7.34
2.7,Master's,4,1,2,30.34
13.3,Bachelor's,14,6,6,99.48
9.2,Diploma,8,1,5,25.19
5.4,Bachelor's,12,1,2,42.6
7.2,Diploma,8,2,3,36.18
1.7,Diploma,9,0,2,3.1
4.3,Bachelor's,7,0,2,32.97
6.6,Bachelor's,8,1,8,46.84
1.7,Bachelor's,8,1,5,38.01
1.0,Bachelor's,10,2,2,16.25
5.0,Bachelor's,9,2,4,43.44
1.1,Bachelor's,7,0,7,18.68
5.8,Diploma,7,1,7,32.33
8.3,High School,7,2,7,40.24
1.7,High School,6,0,7,0.0
1.9,Bachelor's,8,0,3,12.43
8.2,Master's,8,4,6,72.44
4.1,Diploma,9,3,8,72.61
7.4,Master's,15,3,4,79.1
3.2,Master's,6,4,4,49.82
3.4,High School,11,0,4,14.58
4.0,High School,13,1,4,9.94
11.6,Diploma,12,1,7,68.5
7.0,Diploma,15,1,5,54.59
2.2,Bachelor's,13,0,2,14.15
4.6,High School,8,0,4,25.55
3.1,Master's,5,0,6,33.19
2.6,Bachelor's,10,2,3,25.54
5.7,Master's,9,6,3,71.97
4.9,Master's,8,4,3,48.85
1.7,Bachelor's,9,1,4,15.13
4.0,Master's,9,2,7,55.59
2.6,PhD,9,2,3,50.33
5.4,Bachelor's,11,1,6,36.89
2.5,Diploma,6,1,4,6.23
3.5,Bachelor's,11,0,6,30.57
2.7,Bachelor's,9,1,7,36.13
0.7,Bachelor's,4,3,1,17.62
11.2,Bachelor's,13,1,7,74.24
4.0,Bachelor's,8,0,5,29.39
11.5,Master's,8,3,6,65.66
4.1,Bachelor's,12,0,8,47.97
6.4,Bachelor's,13,1,6,48.12
2.3,Bachelor's,10,0,4,13.75
2.4,Master's,12,5,5,74.65
3.8,Bachelor's,6,1,5,19.25
11.4,High School,8,1,5,36.21
1.8,Master's,7,3,1,29.88
0.5,Diploma,7,0,3,0.0
8.0,Master's,10,2,1,63.04
6.7,Bachelor's,8,0,2,24.33
2.8,Bachelor's,13,2,6,46.32
14.4,Master's,9,5,6,93.99
14.8,Master's,14,4,9,100.0
0.7,Master's,15,1,4,47.3
2.3,Bachelor's,4,1,5,14.76
3.8,Master's,7,2,3,33.74
5.3,Bachelor's,5,4,6,47.87
4.8,Master's,10,3,4,53.4
4.0,Master's,11,1,2,55.57
1.6,Diploma,7,1,4,7.81
5.8,Bachelor's,15,0,6,56.82
6.0,Bachelor's,16,0,6,56.63
7.7,Diploma,14,2,3,45.76
1.4,Bachelor's,5,1,3,20.36
3.4,Diploma,12,0,4,28.31
2.7,Bachelor's,16,0,3,42.89
1.3,Diploma,7,0,4,10.13
3.3,Bachelor's,10,0,1,8.63
1.6,Master's,13,0,0,33.17
1.1,Bachelor's,7,0,1,5.15
6.8,Bachelor's,11,2,3,44.7
2.8,Master's,5,1,3,53.63
2.2,PhD,13,2,0,40.57
9.0,Bachelor's,8,1,9,60.17
6.2,Diploma,3,0,4,9.83
0.5,Diploma,6,0,3,0.0
5.3,PhD,16,1,6,73.1
5.3,Master's,13,2,7,72.5
3.2,Master's,12,1,7,49.33
3.1,Master's,13,0,3,45.26
0.8,Diploma,7,1,2,4.59
14.3,Bachelor's,7,4,9,86.41
3.3,Master's,12,5,6,73.25
5.1,Master's,12,4,4,80.15
3.5,Bachelor's,12,2,3,45.37
2.2,Bachelor's,9,2,2,28.55
7.1,Diploma,9,2,5,43.36
4.5,PhD,10,3,5,70.85
3.3,Bachelor's,15,1,5,52.83
5.1,Master's,11,4,4,61.68
3.7,Bachelor's,7,3,2,47.96
12.0,Bachelor's,10,5,6,85.77
7.0,Master's,18,0,8,100.0
5.7,Bachelor's,10,3,3,63.9
0.9,Master's,7,0,2,15.92
5.8,Master's,10,2,9,72.9
5.7,Master's,10,2,5,61.76
1.7,Bachelor's,12,0,7,45.04
0.9,Master's,12,0,5,41.2
6.8,Bachelor's,14,0,7,66.77
7.4,Bachelor's,5,1,7,30.23
2.4,Bachelor's,7,1,5,22.79
2.3,Bachelor's,7,3,3,29.11
4.4,Diploma,7,1,10,32.68
2.8,Bachelor's,7,1,3,9.82
0.9,Diploma,5,1,4,11.41
1.6,Bachelor's,4,0,4,2.06
5.0,Diploma,8,3,7,37.33
1.7,Bachelor's,13,1,2,36.07
7.6,Master's,13,1,7,81.91
5.7,Bachelor's,13,1,3,41.07
5.1,High School,7,2,6,14.65
4.3,Master's,10,4,5,58.38
2.1,Master's,8,2,2,43.14
6.2,Master's,6,3,4,61.51
2.1,Master's,11,1,1,36.82
7.9,PhD,11,4,10,100.0
10.8,Bachelor's,10,4,8,72.33
4.4,PhD,14,0,6,71.91
9.8,PhD,10,5,3,95.46
1.7,Bachelor's,8,1,7,34.68
5.7,Master's,15,2,6,75.27
3.9,Master's,11,0,5,39.11
6.8,Master's,7,2,5,63.84
0.5,Master's,12,2,2,29.64
6.6,Bachelor's,15,1,3,52.47
2.3,Bachelor's,6,2,2,23.88
4.1,Bachelor's,5,4,1,38.33
14.1,Master's,15,7,8,100.0
5.9,Master's,12,0,4,60.39
5.3,Master's,11,3,0,48.02
5.0,Master's,12,2,5,78.82
8.5,PhD,16,1,10,100.0
7.0,Diploma,10,1,4,32.04
5.1,PhD,11,0,8,67.25
4.6,Diploma,4,1,3,16.1
4.4,Bachelor's,11,2,3,37.97
3.8,Diploma,8,0,3,3.46
1.3,Bachelor's,7,2,2,20.53
5.8,Bachelor's,4,3,7,28.81
2.5,Diploma,8,2,2,18.14
3.4,Bachelor's,13,1,4,46.1
7.3,Master's,13,2,8,77.72
3.8,Diploma,9,0,1,17.79
3.6,Master's,12,2,1,52.09
4.4,Diploma,10,1,2,13.6
3.1,Diploma,12,0,2,17.6
13.9,Diploma,7,2,3,45.83
12.7,Bachelor's,9,1,5,59.93
12.5,Master's,11,3,4,91.64
5.0,Bachelor's,7,1,2,30.7
2.4,Master's,13,3,3,49.96
7.5,Bachelor's,8,0,12,62.19
3.1,Master's,4,2,7,37.61
7.9,PhD,14,6,4,97.6
2.3,Bachelor's,11,0,3,37.13
5.3,Diploma,7,1,5,44.26
8.7,Diploma,10,2,5,60.39
3.2,Bachelor's,5,0,3,16.37
3.2,Bachelor's,10,1,5,38.05
1.0,Diploma,9,1,0,10.35
2.3,Master's,8,3,2,40.98
5.0,PhD,12,1,3,50.93
5.5,Bachelor's,8,2,3,50.97
6.1,Bachelor's,6,1,2,18.24
0.6,Bachelor's,6,3,2,29.1
3.1,Bachelor's,14,1,5,51.42
1.1,Master's,12,2,8,72.76
4.8,Bachelor's,13,1,4,51.88
0.8,Diploma,9,0,2,0.0
1.5,Bachelor's,9,1,5,37.33
6.9,Diploma,11,2,5,41.68
2.6,Bachelor's,9,0,7,26.56
9.9,Bachelor's,11,0,9,52.36
6.2,Bachelor's,7,3,1,35.2
3.3,Bachelor's,6,0,2,1.61
7.7,Master's,10,0,6,69.05
3.5,High School,6,1,4,0.0
6.7,Master's,9,3,7,67.46
2.2,High School,8,3,6,18.32
8.0,Bachelor's,9,1,8,58.57
0.9,Master's,9,1,8,40.32
1.5,Master's,9,3,3,51.53
1.7,Diploma,8,1,3,12.58
2.4,Bachelor's,9,0,5,27.15
5.1,Master's,5,0,9,43.1
4.0,PhD,9,4,5,75.48
6.7,Bachelor's,11,2,3,58.46
8.8,High School,12,1,4,54.18
0.8,Bachelor's,13,0,8,33.89
9.5,Diploma,10,1,8,52.77
3.4,High School,9,2,2,0.0
12.3,Bachelor's,12,2,11,95.57
2.1,Master's,10,0,1,17.23
0.6,High School,7,0,5,0.0
6.3,Master's,12,1,5,69.92
6.0,Master's,15,3,1,61.63
1.5,Master's,6,1,4,22.77
1.7,Bachelor's,9,1,5,39.63
7.1,Bachelor's,15,2,8,78.72
5.3,Diploma,6,3,2,15.43
3.1,Bachelor's,8,0,4,25.07
5.7,Bachelor's,12,1,5,42.48
4.9,Bachelor's,10,0,0,30.08
1.8,Diploma,7,0,3,5.52
7.4,Diploma,7,1,4,39.99
6.5,Master's,10,2,4,51.63
4.1,Master's,5,1,3,33.66
7.1,Bachelor's,7,0,6,39.26
13.3,PhD,13,1,11,100.0
1.7,Bachelor's,9,1,2,16.93
3.3,Bachelor's,10,0,2,6.89
3.4,Master's,11,4,6,72.01
7.0,Bachelor's,8,2,9,60.05
2.4,Bachelor's,6,1,2,9.98
6.7,Bachelor's,6,2,7,44.49
2.7,Bachelor's,8,4,2,27.21
1.5,Bachelor's,12,0,2,9.19
4.2,Bachelor's,8,1,1,30.8
2.6,Bachelor's,5,3,1,25.01
4.6,Bachelor's,7,1,6,26.75
5.4,Bachelor's,9,3,3,62.93
0.9,Bachelor's,6,1,0,0.0
2.9,Master's,15,4,1,65.51
4.2,Master's,13,2,2,52.92
7.1,Bachelor's,7,2,7,42.42
6.5,Master's,7,3,9,73.42
2.0,High School,8,0,2,0.0
3.5,Bachelor's,13,0,4,32.31
5.6,Bachelor's,7,2,6,54.06
3.3,Bachelor's,8,0,3,26.28
2.2,Master's,15,3,8,79.37
3.9,PhD,10,3,4,64.26
5.2,Bachelor's,9,0,3,32.23
1.8,Bachelor's,9,0,5,25.32
6.0,Bachelor's,5,3,5,46.26
4.4,Bachelor's,10,0,2,19.54
6.2,Diploma,3,1,7,7.16
3.8,PhD,6,0,10,69.64
12.0,Master's,16,3,9,100.0
5.1,PhD,5,3,5,64.75
6.7,Bachelor's,8,2,2,33.13
6.0,High School,9,2,5,25.04
3.5,Bachelor's,4,2,3,33.46
4.8,PhD,7,1,1,45.85
2.5,Diploma,7,3,2,34.08
11.4,Diploma,14,0,6,64.75
5.6,Diploma,3,1,5,12.06
2.1,Master's,15,0,1,42.3
9.8,Master's,10,4,7,98.82
3.6,Master's,9,2,7,58.04
7.3,Diploma,7,2,3,34.97
0.8,Master's,12,4,3,63.28
8.6,Bachelor's,11,2,10,57.12
5.4,Diploma,11,6,3,58.05
1.9,Bachelor's,8,1,7,43.96
5.3,Bachelor's,12,4,5,56.07
10.7,Bachelor's,19,4,4,98.85
2.5,PhD,13,2,2,58.15
2.5,Bachelor's,8,1,6,20.42
3.4,Bachelor's,4,2,6,36.63
4.2,Master's,7,0,3,32.21
7.7,Master's,11,5,7,86.78
5.6,High School,9,3,5,34.98
3.4,Bachelor's,9,0,5,23.24
5.0,Bachelor's,8,1,9,54.74
11.9,Bachelor's,5,1,3,37.93
6.3,Master's,20,3,3,94.34
3.7,Bachelor's,8,1,2,33.01
3.4,Bachelor's,10,2,2,44.48
4.8,Diploma,10,2,1,27.46
7.6,Bachelor's,10,1,6,49.48
2.2,Bachelor's,14,1,4,34.93
6.9,Master's,10,5,6,73.93
3.7,Bachelor's,6,1,6,30.42
4.1,Master's,16,2,4,60.5
18.1,Bachelor's,13,2,10,100.0
6.4,Master's,7,1,6,46.37
2.7,Diploma,8,0,4,7.98
5.4,Bachelor's,6,4,2,36.25
7.8,Diploma,5,0,5,17.74
6.5,High School,9,0,2,7.39
0.5,Master's,13,1,3,44.53
4.0,Master's,9,5,2,50.5
5.5,Bachelor's,7,1,6,30.49
5.2,Bachelor's,11,1,4,40.69
2.9,Bachelor's,7,2,1,13.3
6.5,Bachelor's,7,0,3,38.59
8.6,Master's,11,0,8,64.23
0.9,Bachelor's,7,1,3,17.33
0.8,Master's,15,2,2,50.93
5.3,Bachelor's,11,1,3,30.06
6.9,PhD,12,1,2,57.86
2.5,High School,4,0,1,0.0
0.5,Bachelor's,5,0,3,12.14
4.0,Master's,11,5,3,78.14
5.3,Diploma,3,2,4,31.52
3.2,Diploma,5,2,7,34.59
8.0,Bachelor's,23,2,6,79.97
5.1,Bachelor's,13,1,5,42.91
2.3,PhD,10,0,5,60.15
2.5,Master's,10,2,5,60.88
4.1,Bachelor's,5,1,3,27.54
3.1,PhD,10,0,2,49.4
0.8,Bachelor's,8,2,3,20.59
4.8,Master's,15,2,4,77.88
2.6,Bachelor's,12,0,1,17.78
2.9,Bachelor's,9,0,5,16.9
1.6,High School,10,1,0,2.56
10.9,High School,12,3,9,60.37
6.2,Master's,15,2,3,56.87
12.6,Diploma,10,0,8,64.65
3.2,Bachelor's,9,2,5,25.6
6.4,Master's,7,1,5,52.7
4.8,High School,8,2,3,11.63
2.4,Bachelor's,12,1,5,50.84
3.2,Master's,6,1,6,43.89
6.2,Master's,11,2,2,61.97
1.6,Bachelor's,8,1,3,13.41
8.0,PhD,20,2,12,100.0
4.5,Master's,7,0,4,33.44
7.3,Master's,7,0,7,57.68
5.3,Bachelor's,11,2,5,50.47
0.9,Master's,12,3,4,59.88
4.0,Master's,11,0,2,42.19
8.1,Bachelor's,12,1,4,45.17
4.5,PhD,7,3,7,72.79
4.1,Master's,6,1,5,41.5
4.5,Bachelor's,11,1,4,49.29
0.7,Master's,5,0,2,7.51
8.7,Bachelor's,11,3,6,62.73
0.3,Master's,13,0,6,46.68
9.9,Master's,14,3,8,100.0
3.0,High School,10,2,2,9.92
5.6,Diploma,6,1,5,28.43
0.6,Bachelor's,13,0,2,22.83
6.9,Master's,11,2,8,73.48
6.1,Bachelor's,12,1,3,52.53
5.8,Master's,9,6,3,70.77
0.6,Bachelor's,12,2,1,23.43
2.1,Bachelor's,7,0,2,9.16
5.3,Master's,14,1,2,51.51
